vote_id;vote_date;question;issue;title;yeas;nays
00037;16-Mar;On the Cloture Motion;S. 764;Motion to Invoke Cloture on the Motion to Concur in the House Amendment with an Amendment, A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;48;49
00036;14-Mar;On the Nomination;PN1152;Confirmation John B. King, of New York, to be Secretary of Education;49;40
00035;10-Mar;On the Motion to Table;S.J.Res. 31;Motion to Table the Motion to Discharge S.J. Res. 31, A joint resolution relating to the disapproval of the proposed foreign military sale to the Government of Pakistan of F-16 Block 52 aircraft.;71;24
00034;10-Mar;On Passage of the Bill;S. 524;S. 524 As Amended, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;94;1
00033;09-Mar;On the Cloture Motion;S. 524;Motion to Invoke Cloture on S. 524, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;93;3
00032;07-Mar;On the Cloture Motion;S. 524;Motion to Invoke Cloture on Amdt. No. 3378 to S. 524, In the nature of a substitute.;86;3
00031;03-Mar;On the Amendment;S. 524;Manchin Amdt. No. 3420, To strengthen consumer education about the risks of opioid abuse and addiction.;90;0
00030;02-Mar;On the Motion;S. 524;Motion to Waive All Applicable Budgetary Discipline Re: Shaheen Amdt. No. 3345, To make appropriations to address the heroin and opioid drug abuse epidemic for the fiscal year ending September 30, 2016.;48;47
00029;02-Mar;On the Motion;S. 524;Motion to Waive All Applicable Budgetary Discipline Re: Wyden Amdt. No. 3395, To provide for comprehensive provisions for the prevention and enforcement of opioid abuse and treatment of opioid addiction.;46;50
00028;02-Mar;On the Amendment;S. 524;Feinstein Amdt. No. 3362, To provide the Department of Justice with additional tools to target extraterritorial drug trafficking activity, and for other purposes.;94;0
00027;29-Feb;On Cloture on the Motion to Proceed;S. 524;Motion to Invoke Cloture on the Motion to Proceed to S. 524, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;89;0
00026;25-Feb;On the Resolution;S.Res. 374;S. Res. 374, A resolution relating to the death of Antonin Scalia, Associate Justice of the Supreme Court of the United States.;93;0
